"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"ポリープ","ペリ","34","原種","9","パイロクラズム / ムーランルージュ / ルビーライト / 熱傷","フレイムアシスト / ミラージュ / 値踏み / 魔力ブースト","A-F","D-F","E-F","F-G","F-H","F-I","F-J","F-K","F-L","",""
"ポリープ","ドール","27","原種","10","アースクェイク / カロウシブスピット","セントリー / ハートオブオーシャン / 守りのミンネ / 戦いのエール","A-F","B-F","D-F","E-F","F-G","F-H","F-I","F-J","F-K","F-L",""
"ポリープ","スターヴァンパイア","25","原種","1","アンガドーリエラ / エナジードレイン / フラッシュファイア","心の棘 / 魔力ブースト","A-F","","","","","","","","","",""
"ポリープ","グレムリン","27","亜種1","11","ダークボルト / ハイドアウト / 光の楔 / 風葬","ミラージュ / 魔力ブースト","A-F","B-F","C-F","D-F","E-F","F-G","F-H","F-I","F-J","F-K","F-L"
"ポリープ","ハイドラ","34","原種","9","ラーヴァフロウ / 誘い受け","エンジェリックウィング / コールドバリア / セントリー / ハートオブオーシャン / ミラージュ","B-F","C-F","D-F","E-F","F-G","F-H","F-I","F-J","F-L","",""
"ポリープ","ペリB (1)","33","原種","1","パイロクラズム / ムーランルージュ / 熱傷","魔力ブースト","B-F","","","","","","","","","",""
"ポリープ","ペリB (2)","33","原種","1","ルビーライト","フレイムアシスト / 魔力ブースト","C-F","","","","","","","","","",""
"ポリープ","ドールB","26","原種","1","アースクェイク / カロウシブスピット","戦いのエール","C-F","","","","","","","","","",""
"ポリープ","スターヴァンパイアA","25","原種","1","アンガドーリエラ / エナジードレイン / フラッシュファイア","コールドバリア","F-K","","","","","","","","","",""
"pmg","ガッシムブラック","42","原種","11","くすぐり / まさぐり / ガッシマ / チャージ / ペトロガス","守りのミンネ / 戦いのエール","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"pmg","ガッシムホワイト","37","原種","11","ガッシマ / スタンピード / チャージ / バインドグラスプ / ペトロガス","レジストシック / 予習復習 / 守りのミンネ / 戦いのエール","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"pmg","パスタールミナス","26","原種","6","ハスタリーザ","アウタークッキー / レジストシック / 予習復習","A-D","B-D","D-F","D-H","D-J","D-K","","","","",""
"pmg","ダークヤングップル","26","","6","","アウタークッキー / レジストシック / 予習復習","A-D","B-D","D-F","D-H","D-J","D-K","","","","",""
"pmg","エボニールミナス","31","原種","5","テラーコール / ルビーライト / 光のベール","アウタークッキー / ミラージュ / 心の棘 / 魔力ブースト","C-D","D-E","D-G","D-I","D-L","","","","","",""
"pmg","オールドワンップル","26","原種","5","ウィンドボルト / テンプテイション / ミラーズ","アウタークッキー / 心の壁 / 心の棘","C-D","D-E","D-G","D-I","D-L","","","","","",""
"煌龍","シルバードラゴン","43","原種","9","アイスブレス / コールドボルト / ダークボルト / ファイアボール / ブラッドスティール / ブリザード","コールドアシスト / レジストバインド / 防御ブースト","A-C","C-D","C-E","C-F","C-G","C-H","C-I","C-J","C-L","",""
"煌龍","ワイバーンB","30","原種","1","スパイクテイル / ベノムスティング","ディレイオーダー / 守りのミンネ","A-C","","","","","","","","","",""
"煌龍","ペリ","18","原種","4","パイロクラズム / ムーランルージュ","フレイムバリア / 心の壁 / 心の棘 / 敏捷ブースト","A-C","C-E","C-H","C-J","","","","","","",""
"煌龍","ドール","40","原種","10","アースクェイク / カロウシブスピット","ディレイオーダー / レジストペトリ / 命中ブースト / 守りのミンネ / 心の棘 / 戦いのエール / 防御ブースト","A-C","B-C","C-D","C-E","C-G","C-H","C-I","C-J","C-K","C-L",""
"煌龍","シルバードラゴンB","43","原種","1","アイスブレス / ダークボルト / ブリザード","コールドアシスト / 防御ブースト","B-C","","","","","","","","","",""
"煌龍","ペリB","19","原種","1","ムーランルージュ","守りのミンネ / 攻撃ブースト","B-C","","","","","","","","","",""
"煌龍","セイレン","26","原種","2","悪魔のトリル / 魔性の囁き","フレイムバリア / 心の棘 / 攻撃ブースト / 敏捷ブースト","B-C","C-L","","","","","","","","",""
"煌龍","パズズ (1)","21","原種","3","デルタスラッシュ / ローカストスウォーム","レジストフィアー / レジストペトリ / 予習復習 / 戦いのエール / 防御ブースト","C-D","C-I","C-J","","","","","","","",""
"煌龍","パズズ (2)","21","原種","1","デルタスラッシュ","戦いのエール / 防御ブースト","C-H","","","","","","","","","",""
"煌龍","ハイドラ","17","原種","1","超低周波","心の棘 / 攻撃ブースト","C-D","","","","","","","","","",""
"煌龍","ワイバーン","40","原種","3","スパイクテイル / ベノムスティング","ディレイオーダー / レジストフィアー / 予習復習 / 守りのミンネ / 戦いのエール / 防御ブースト","C-E","C-F","C-G","","","","","","","",""
"煌龍","ドールA","40","原種","1","アースクェイク / カロウシブスピット","命中ブースト / 心の棘","C-F","","","","","","","","","",""
"煌龍","ペリA","19","原種","1","ムーランルージュ","心の壁 / 心の棘","C-F","","","","","","","","","",""
"煌龍","ショゴス","32","亜種2","1","テラーコール","フレイムバリア / 敏捷ブースト","C-G","","","","","","","","","",""
"煌龍","シムルグ","30","原種","1","バードサンクチュアリ","フレイムバリア / 敏捷ブースト","C-I","","","","","","","","","",""
"煌龍","シルバードラゴンA","43","原種","1","アイスブレス / ダークボルト / ブラッドスティール / ブリザード","命中ブースト / 心の棘","C-K","","","","","","","","","",""
"煌龍","ラプシヌプルクル","43","原種","1","ペトロガス / 火葬 / 熱傷","レジストペトリ / 防御ブースト","C-K","","","","","","","","","",""
"煌龍","セイレンA","21","原種","1","悪魔のトリル / 魔性の囁き","心の壁 / 心の棘","C-K","","","","","","","","","",""
"煌龍","ワイバーンA","30","原種","1","スパイクテイル / ベノムスティング","ディレイオーダー / 守りのミンネ","C-L","","","","","","","","","",""
"シュトラッサー","シルバードラゴン","33","原種","9","アイスブレス / ブリザード","リジェネレイト / 守りのミンネ","A-B","B-D","B-E","B-F","B-G","B-H","B-I","B-J","B-L","",""
"シュトラッサー","クン・アヌン","23","原種","11","バーニングレイジ / ファイアランス","コールドバリア / フレイムバリア","A-B","B-C","B-D","B-E","B-F","B-G","B-H","B-I","B-J","B-K","B-L"
"シュトラッサー","ルサルカB","30","原種","1","フラッド / メイルストロム","レジストスリープ / レジストチャーム","A-B","","","","","","","","","",""
"シュトラッサー","ペリ","36","原種","9","パイロクラズム / ムーランルージュ","レジストチャーム / 予習復習","A-B","B-D","B-E","B-G","B-H","B-I","B-J","B-K","B-L","",""
"シュトラッサー","シルバードラゴンA","33","原種","2","アイスブレス / ブリザード","リジェネレイト / 守りのミンネ","B-C","B-K","","","","","","","","",""
"シュトラッサー","ルサルカ","31","原種","8","フラッド / メイルストロム","レジストスリープ / レジストチャーム","B-C","B-D","B-E","B-F","B-G","B-I","B-J","B-K","","",""
"シュトラッサー","ペリA","36","原種","2","パイロクラズム / ムーランルージュ","レジストチャーム / 予習復習","B-C","B-F","","","","","","","","",""
"シュトラッサー","ルサルカA","31","原種","2","フラッド / メイルストロム","レジストスリープ / レジストチャーム","B-H","B-L","","","","","","","","",""
"なまはる","シルバードラゴン","18","原種","8","アイスブレス / ウィンドボルト / エイミング / ブリザード","クィックオーダー / コールドアシスト / コールドバリア","A-K","D-K","E-K","G-K","H-K","I-K","J-K","K-L","","",""
"なまはる","ハイドラ","18","原種","10","エイミング / ダブルアタック / ラーヴァフロウ","命中ブースト / 守りのミンネ","A-K","B-K","C-K","D-K","F-K","G-K","H-K","I-K","J-K","K-L",""
"なまはる","セイレンB","19","亜種1","2","ダークボルト / ヒーリング / ブラッドスティール / 悪魔のトリル","心の棘 / 魔力ブースト","A-K","C-K","","","","","","","","",""
"なまはる","サキュバス","27","原種","10","サクション / スロウ / テンプテイション / リヴァイヴ","フレイムアシスト","A-K","B-K","C-K","D-K","E-K","F-K","G-K","H-K","I-K","J-K",""
"なまはる","シルバードラゴンB","18","原種","2","アイスブレス / エイミング / ブリザード","コールドアシスト / コールドバリア","B-K","C-K","","","","","","","","",""
"なまはる","セイレン","19","亜種1","9","ダークボルト / ヒーリング / ブラッドスティール / 悪魔のトリル","心の棘 / 魔力ブースト","B-K","D-K","E-K","F-K","G-K","H-K","I-K","J-K","K-L","",""
"なまはる","ナイトメア","13","亜種2","1","スリープクラウド / ペトロガス / 挑発","","E-K","","","","","","","","","",""
"なまはる","スターヴァンパイアB","21","原種","1","アンガドーリエラ / エナジードレイン","ミラージュ","F-K","","","","","","","","","",""
"なまはる","スターヴァンパイア","21","原種","1","アンガドーリエラ / エナジードレイン","","K-L","","","","","","","","","",""
"ウェェ","反射ラベンダードラゴン","16","原種","5","夢の終わり","HPブースト / 命中ブースト / 守りのミンネ / 防御ブースト","A-I","B-I","D-I","G-I","I-K","","","","","",""
"ウェェ","ナイトメア","30","亜種2","7","アースクェイク / カロウシブスピット / クリティカルスパイク / スリープクラウド","HPブースト / リジェネレイト / リフレクション / 命中ブースト","A-I","C-I","F-I","G-I","H-I","I-J","I-L","","","",""
"ウェェ","エアリエル","16","原種","6","ウィンドボルト / ストームワーニング / テンペスト / 水流","ハートオブフレイム / リジェネレイト / リフレクション","A-I","C-I","E-I","F-I","I-J","I-L","","","","",""
"ウェェ","スキュラ","27","原種","10","アイスランス / スリートストーム / スリープクラウド / ヘイルショット","クィックオーダー / コールドアシスト","A-I","B-I","C-I","D-I","E-I","F-I","G-I","H-I","I-K","I-L",""
"ウェェ","反射ペリュトン","13","原種","4","シャドウスティール / 滅びの翼","HPブースト / 命中ブースト","B-I","D-I","E-I","I-K","","","","","","",""
"ウェェ","反射フェアリードラゴン","14","亜種1","4","アイスボール / ヘイルショット","ハートオブフレイム / リジェネレイト","B-I","D-I","E-I","I-K","","","","","","",""
"ウェェ","オールドワン2号","34","原種","5","ウィンドボルト / グリムシャドウ / ダークボルト / デルバイス / ミラーズ","リジェネレイト / リフレクション / 心の壁 / 心の棘","C-I","F-I","H-I","I-J","I-L","","","","","",""
"ウェェ","エアリエルB","15","原種","2","ウィンドボルト / ストームワーニング / テンペスト / 水流","ハートオブフレイム / リジェネレイト / リフレクション","G-I","H-I","","","","","","","","",""
"ウェェ","スキュラA","26","原種","1","スリートストーム","クィックオーダー","I-J","","","","","","","","","",""
"roseau","ワイバーンB","18","亜種1","1","ベノムスティング","攻撃ブースト","A-H","","","","","","","","","",""
"roseau","グリフィン","21","原種","11","チャージ / ハードブロウ","","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"roseau","エアリエル","28","原種","8","ウィンドボルト / テンペスト / ヒーリング / 水流","攻撃ブースト / 魔力ブースト","A-H","B-H","C-H","D-H","E-H","F-H","H-J","H-K","","",""
"roseau","ルサルカ","13","原種","10","ファイアボール / フラッド","魔力ブースト","A-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L",""
"roseau","ワイバーン","19","亜種1","10","ベノムスティング","攻撃ブースト / 魔力ブースト","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L",""
"roseau","ルサルカB","9","原種","1","ファイアボール / フラッド","魔力ブースト","B-H","","","","","","","","","",""
"roseau","セルキー","20","亜種1","1","水流","攻撃ブースト / 魔力ブースト","G-H","","","","","","","","","",""
"roseau","エアリエルA (1)","26","原種","1","水流","攻撃ブースト / 魔力ブースト","H-I","","","","","","","","","",""
"roseau","エアリエルA (2)","27","原種","1","テンペスト","攻撃ブースト / 魔力ブースト","H-L","","","","","","","","","",""
"竹猫","ダークヤング (1)","21","原種","11","イボニーシード / ガッシマ","リフレクション / 命中ブースト / 敏捷ブースト","A-G","B-G","C-G","D-G","E-G","F-G","G-H","G-I","G-J","G-K","G-L"
"竹猫","ダークヤング (2)","21","原種","11","イボニーシード / ガッシマ","クィックオーダー / ミラージュ / 命中ブースト","A-G","B-G","C-G","D-G","E-G","F-G","G-H","G-I","G-J","G-K","G-L"
"竹猫","ファリシー","20","原種","5","ウィンドボルト / ヒーリング / ヴィジョン","","A-G","C-G","E-G","G-H","G-J","","","","","",""
"竹猫","フラーユ","5","原種","1","春の雨","命中ブースト","A-G","","","","","","","","","",""
"竹猫","モーラ","12","原種","3","ヒーリング / ファイアボルト / ブラッドスティール","ミラージュ","B-G","D-G","F-G","","","","","","","",""
"竹猫","フライングポリープ","12","原種","3","イーヴルフルート / 闇の楔","","B-G","D-G","F-G","","","","","","","",""
"竹猫","エアリエル","12","原種","5","ストームワーニング / テンペスト","命中ブースト","C-G","E-G","G-H","G-J","G-L","","","","","",""
"竹猫","ワンプ","21","亜種1","2","セメタリーゲート","命中ブースト","G-I","G-K","","","","","","","","",""
"竹猫","エアリエルA","13","","1","","","G-I","","","","","","","","","",""
"竹猫","グレムリン","30","原種","1","ハイドアウト / 風葬","","G-K","","","","","","","","","",""
"竹猫","サキュバス","10","原種","1","サクション / テンプテイション","","G-L","","","","","","","","","",""
"まる","キャペルウェイト","24","亜種2","11","シャドウレイド / ダブルアタック / フラッシュファイア","リフレクション","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
"まる","アークディスプレイサー","40","原種","7","エイミング / ソリッドファントム / ハードブロウ / ホロウワールド","","A-J","B-J","C-J","D-J","F-J","H-J","J-L","","","",""
"まる","スノウ","28","原種","10","スノウストーム / スリートストーム / ヒーリング / 氷の花","フレイムバリア / 守りのミンネ / 戦いのエール / 魔力ブースト","A-J","B-J","C-J","D-J","F-J","G-J","H-J","I-J","J-K","J-L",""
"まる","セイレンB","41","亜種2","1","ダークボルト / ルビーライト / 悪魔のトリル / 魔性の囁き","守りのミンネ / 防御ブースト","A-J","","","","","","","","","",""
"まる","スキュラ","17","原種","5","アイスランス / ウィンドボルト / ブラッドスティール","守りのミンネ / 防御ブースト","B-J","D-J","E-J","G-J","J-K","","","","","",""
"まる","セイレン","42","亜種2","4","ダークボルト / ルビーライト / 悪魔のトリル / 魔性の囁き","守りのミンネ / 防御ブースト","C-J","F-J","H-J","J-L","","","","","","",""
"まる","ラプシヌプルクル","22","亜種1","4","火葬 / 熱傷","レジストシール / 命中ブースト","E-J","G-J","I-J","J-K","","","","","","",""
"まる","スノウB","24","原種","1","スノウストーム","守りのミンネ / 戦いのエール","E-J","","","","","","","","","",""
"まる","スキュラB","17","原種","1","アイスランス / ウィンドボルト / ブラッドスティール","守りのミンネ / 防御ブースト","I-J","","","","","","","","","",""
"ゆき","深雪","14","亜種2","7","スノウストーム / スリートストーム","フレイムアシスト / 敏捷ブースト","A-B","A-C","A-D","A-F","A-G","A-I","A-K","","","",""
"ゆき","ワイバーン","16","亜種1","5","ベノムスティング","命中ブースト / 戦いのエール","A-B","A-F","A-G","A-J","A-K","","","","","",""
"ゆき","ルサルカA","17","原種","1","フラッド / 水流","コールドアシスト / 魔力ブースト","A-B","","","","","","","","","",""
"ゆき","セイレン","14","亜種2","7","アウェイクニング / セメタリーゲート / ヒーリング / 悪魔のトリル","フェアリークッキー / レジストバインド / 心の壁 / 心の棘","A-B","A-C","A-D","A-F","A-G","A-H","A-L","","","",""
"ゆき","ワイバーンA","15","亜種1","2","ベノムスティング","命中ブースト / 守りのミンネ / 戦いのエール","A-C","A-H","","","","","","","","",""
"ゆき","ルサルカ","18","原種","6","フラッド / 水流","コールドアシスト / 魔力ブースト","A-C","A-D","A-F","A-G","A-J","A-K","","","","",""
"ゆき","雪乃","17","亜種1","3","スノウストーム / スリートストーム","フェアリークッキー / フレイムアシスト","A-D","A-I","A-L","","","","","","","",""
"ゆき","ブラスドラゴン","16","","2","","命中ブースト / 守りのミンネ / 戦いのエール","A-H","A-J","","","","","","","","",""
"ゆき","ワンプ","12","原種","1","セメタリーゲート","心の壁 / 心の棘","A-H","","","","","","","","","",""
"ゆき","炎の刻印","19","原種","2","フラッシュファイア / 炎の刻印","フレイムアシスト / 敏捷ブースト","A-I","A-L","","","","","","","","",""
"ゆき","雪音","15","原種","2","スノウストーム / スリートストーム","フェアリークッキー","A-I","A-L","","","","","","","","",""
"ゆき","セイレンA","13","亜種2","2","アウェイクニング / セメタリーゲート / ヒーリング / 悪魔のトリル","フェアリークッキー","A-J","A-K","","","","","","","","",""
"白","グリフィン","6","","1","","レジストシック / レジストフィアー","A-E","","","","","","","","","",""
"白","ワイバーン","15","原種","6","ダブルアタック / ベノムスティング","レジストチャーム / レジストポイズン / 命中ブースト","A-E","B-E","D-E","E-G","E-I","E-K","","","","",""
"白","スノウ (1)","17","原種","3","スノウストーム","レジストフィアー","E-G","E-I","E-K","","","","","","","",""
"白","スノウ (2)","16","亜種1","5","スノウストーム / ヒーリング","レジストチャーム / レジストフィアー","A-E","B-E","C-E","D-E","E-L","","","","","",""
"白","メロウ","11","原種","4","コールドウェーブ / コールドボルト","レジストスリープ / 命中ブースト","A-E","E-G","E-I","E-K","","","","","","",""
"白","アークディスプレイサー","12","原種","6","ソリッドファントム / ホロウワールド","レジストシック / レジストフィアー","B-E","D-E","E-F","E-H","E-I","E-K","","","","",""
"白","セイレン","17","亜種2","7","ウィンドボルト / ダークボルト / ヒーリング / 悪魔のトリル","心の棘 / 魔力ブースト","B-E","C-E","D-E","E-F","E-H","E-J","E-L","","","",""
"白","シャンタク鳥","13","亜種1","3","スウィング / 超低周波","戦いのエール","C-E","E-J","E-L","","","","","","","",""
"白","火槍","12","原種","2","ファイアランス","レジストチャーム","C-E","E-L","","","","","","","","",""
"白","ティンダロスハウンド","30","原種","2","テラーコール / フェイズアウト","レジストシック / レジストスリープ","E-F","E-H","","","","","","","","",""
"白","ショゴス","10","原種","3","テケリ・リ","レジストシック / レジストチャーム / レジストフィアー","E-F","E-G","E-H","","","","","","","",""
"白","ナイトメア","3","原種","1","スリープクラウド","レジストチャーム","E-J","","","","","","","","","",""
"白","スノウA","7","亜種1","1","スノウストーム / ヒーリング","レジストチャーム","E-J","","","","","","","","","",""
